code,1,code,2,code,3,code,5,code,6,code,11,code,12,code,16,code,17,code,19,code,27,code,66,code,101,code,151,code,175,code,267,code,288,code,286,code,288,code,669,code,688,code,700,code,762,code,823,code,857,code,883,code,939,code,941,code,1038,code,1044,code,1088,code,1093,code,1109,code,1113,code,1177,code,1299,code,1398,code,1928,code,1997,code,2007,code,2018,code,2313,code,2318,code,2319,code,2382,code,2388,code,2628,code,3328,code,3988,,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,,
12/04/18,93.15,12/04/18,80.55,12/04/18,14.75,12/04/18,75.4,12/04/18,59.15,12/04/18,188.9,12/04/18,47.14,12/04/18,129.5,12/04/18,11.46,12/04/18,79.15,12/04/18,70.85,12/04/18,43.3,12/04/18,18.62,12/04/18,6.56,12/04/18,23.45,12/04/18,11.42,12/04/18,8.68,12/04/18,0.87,12/04/18,8.68,12/04/18,45,12/04/18,27.4,12/04/18,413.2,12/04/18,10.3,12/04/18,68.3,12/04/18,5.69,12/04/18,12.46,12/04/18,8.12,12/04/18,73.75,12/04/18,63.45,12/04/18,79.2,12/04/18,19.82,12/04/18,21.7,12/04/18,29.8,12/04/18,66.65,12/04/18,11.33,12/04/18,70.6,12/04/18,6.84,12/04/18,43.65,12/04/18,54.3,12/04/18,16.7,12/04/18,144.1,12/04/18,85,12/04/18,84.25,12/04/18,27.55,12/04/18,155.4,12/04/18,37.1,12/04/18,21.95,12/04/18,6.3,12/04/18,4.22,,0
13/04/18,92.85,13/04/18,80.5,13/04/18,14.73,13/04/18,76.3,13/04/18,59.05,13/04/18,189.8,13/04/18,47,13/04/18,129.2,13/04/18,11.54,13/04/18,78.6,13/04/18,70.9,13/04/18,43.15,13/04/18,18.44,13/04/18,6.5,13/04/18,23.4,13/04/18,11.52,13/04/18,8.43,13/04/18,0.88,13/04/18,8.43,13/04/18,44.55,13/04/18,27.6,13/04/18,408,13/04/18,10.34,13/04/18,68.1,13/04/18,5.7,13/04/18,12.3,13/04/18,8.17,13/04/18,73.75,13/04/18,63,13/04/18,78.25,13/04/18,19.9,13/04/18,20.75,13/04/18,29.4,13/04/18,67.05,13/04/18,10.95,13/04/18,70.5,13/04/18,6.82,13/04/18,44.2,13/04/18,55.05,13/04/18,16.54,13/04/18,143.5,13/04/18,88.2,13/04/18,83.95,13/04/18,27.3,13/04/18,156,13/04/18,37.65,13/04/18,21.85,13/04/18,6.29,13/04/18,4.21,,0
16/04/18,91.4,16/04/18,79.85,16/04/18,14.69,16/04/18,75.95,16/04/18,59.15,16/04/18,189.2,16/04/18,46.27,16/04/18,125.5,16/04/18,11.36,16/04/18,78.35,16/04/18,68.8,16/04/18,43.3,16/04/18,18.26,16/04/18,6.5,16/04/18,22.95,16/04/18,11.34,16/04/18,8.28,16/04/18,0.85,16/04/18,8.28,16/04/18,43.5,16/04/18,26.7,16/04/18,403,16/04/18,10.28,16/04/18,67.7,16/04/18,5.59,16/04/18,12.28,16/04/18,7.98,16/04/18,73,16/04/18,62.55,16/04/18,76.15,16/04/18,19.08,16/04/18,20.85,16/04/18,28.55,16/04/18,66.4,16/04/18,10.89,16/04/18,67.7,16/04/18,6.66,16/04/18,43.7,16/04/18,54.7,16/04/18,15.9,16/04/18,140.6,16/04/18,86.75,16/04/18,82.3,16/04/18,27.7,16/04/18,156,16/04/18,38.3,16/04/18,21.7,16/04/18,6.15,16/04/18,4.15,,0
17/04/18,90.4,17/04/18,80.5,17/04/18,14.69,17/04/18,75.45,17/04/18,59.1,17/04/18,192.3,17/04/18,45.73,17/04/18,123.3,17/04/18,11.26,17/04/18,77.5,17/04/18,68.4,17/04/18,42.95,17/04/18,18.1,17/04/18,6.38,17/04/18,22.4,17/04/18,11.32,17/04/18,8.13,17/04/18,0.88,17/04/18,8.13,17/04/18,43.65,17/04/18,26.2,17/04/18,397.2,17/04/18,10.1,17/04/18,68.7,17/04/18,5.52,17/04/18,12.48,17/04/18,7.89,17/04/18,72.6,17/04/18,62.05,17/04/18,75.1,17/04/18,18.78,17/04/18,20.15,17/04/18,28.15,17/04/18,66.8,17/04/18,10.28,17/04/18,67.45,17/04/18,6.59,17/04/18,44.35,17/04/18,53.55,17/04/18,15.52,17/04/18,134.2,17/04/18,86.3,17/04/18,81.05,17/04/18,27,17/04/18,147,17/04/18,38.15,17/04/18,21.6,17/04/18,6.15,17/04/18,4.12,,0
18/04/18,92,18/04/18,81.45,18/04/18,14.73,18/04/18,75.65,18/04/18,58.95,18/04/18,193.2,18/04/18,45.77,18/04/18,124.8,18/04/18,11.32,18/04/18,77.8,18/04/18,70,18/04/18,43.55,18/04/18,18.22,18/04/18,6.41,18/04/18,21.85,18/04/18,11.38,18/04/18,7.99,18/04/18,0.84,18/04/18,7.99,18/04/18,44.35,18/04/18,26.1,18/04/18,400,18/04/18,10.26,18/04/18,68.75,18/04/18,5.62,18/04/18,12.68,18/04/18,7.98,18/04/18,72.55,18/04/18,61.9,18/04/18,75.2,18/04/18,18.88,18/04/18,20.3,18/04/18,28.5,18/04/18,68.05,18/04/18,10.45,18/04/18,69.05,18/04/18,6.69,18/04/18,44.3,18/04/18,52.75,18/04/18,15.56,18/04/18,131.5,18/04/18,85,18/04/18,80.85,18/04/18,27,18/04/18,145.3,18/04/18,38.45,18/04/18,21.6,18/04/18,6.18,18/04/18,4.15,,0
19/04/18,93.7,19/04/18,81.2,19/04/18,14.75,19/04/18,76.3,19/04/18,59.25,19/04/18,194.1,19/04/18,45.82,19/04/18,124.8,19/04/18,11.38,19/04/18,78.8,19/04/18,70.65,19/04/18,43.45,19/04/18,18.36,19/04/18,6.5,19/04/18,21.95,19/04/18,11.54,19/04/18,8.46,19/04/18,0.85,19/04/18,8.46,19/04/18,44.95,19/04/18,26.6,19/04/18,405.8,19/04/18,10.5,19/04/18,69.4,19/04/18,5.94,19/04/18,13.24,19/04/18,8.18,19/04/18,72.8,19/04/18,62.2,19/04/18,76.55,19/04/18,19.76,19/04/18,20.6,19/04/18,29.2,19/04/18,67.75,19/04/18,10.73,19/04/18,68.7,19/04/18,6.89,19/04/18,44.65,19/04/18,53.3,19/04/18,15.88,19/04/18,130.8,19/04/18,82.85,19/04/18,81.75,19/04/18,27.95,19/04/18,151,19/04/18,39.15,19/04/18,21.9,19/04/18,6.3,19/04/18,4.22,,0
20/04/18,93,20/04/18,81.05,20/04/18,14.69,20/04/18,76.8,20/04/18,58.95,20/04/18,194.3,20/04/18,45.68,20/04/18,123.1,20/04/18,11.32,20/04/18,77.3,20/04/18,69.45,20/04/18,43.4,20/04/18,18.22,20/04/18,6.69,20/04/18,21.9,20/04/18,11.4,20/04/18,8.27,20/04/18,0.84,20/04/18,8.27,20/04/18,44.35,20/04/18,26.05,20/04/18,400.2,20/04/18,10.4,20/04/18,68.35,20/04/18,5.87,20/04/18,12.92,20/04/18,8.06,20/04/18,73.1,20/04/18,62,20/04/18,74.1,20/04/18,19.36,20/04/18,20.25,20/04/18,28.6,20/04/18,67.65,20/04/18,10.48,20/04/18,68.1,20/04/18,6.77,20/04/18,44,20/04/18,54.1,20/04/18,15.6,20/04/18,121.3,20/04/18,81.9,20/04/18,81.5,20/04/18,28.3,20/04/18,142.5,20/04/18,38.95,20/04/18,21.75,20/04/18,6.24,20/04/18,4.17,,0
23/04/18,92.75,23/04/18,80.2,23/04/18,14.75,23/04/18,77,23/04/18,58.85,23/04/18,192.2,23/04/18,45.73,23/04/18,121.9,23/04/18,11.2,23/04/18,77,23/04/18,69.05,23/04/18,43.3,23/04/18,18.28,23/04/18,6.9,23/04/18,21.3,23/04/18,11.38,23/04/18,8.36,23/04/18,0.83,23/04/18,8.36,23/04/18,42.85,23/04/18,25.55,23/04/18,394,23/04/18,10.74,23/04/18,67.5,23/04/18,5.82,23/04/18,12.8,23/04/18,8.04,23/04/18,72.85,23/04/18,61.85,23/04/18,73.5,23/04/18,19.48,23/04/18,19.62,23/04/18,28.45,23/04/18,67.2,23/04/18,10.39,23/04/18,68.15,23/04/18,6.72,23/04/18,43.35,23/04/18,54.15,23/04/18,15.3,23/04/18,119,23/04/18,80.9,23/04/18,82.05,23/04/18,27.2,23/04/18,132.7,23/04/18,39.2,23/04/18,21.7,23/04/18,6.22,23/04/18,4.13,,0
24/04/18,93.35,24/04/18,81.4,24/04/18,14.75,24/04/18,77.65,24/04/18,58.65,24/04/18,192.7,24/04/18,45.59,24/04/18,122.5,24/04/18,11.28,24/04/18,76.6,24/04/18,70.1,24/04/18,43.6,24/04/18,18.46,24/04/18,6.96,24/04/18,21.65,24/04/18,11.56,24/04/18,8.62,24/04/18,0.81,24/04/18,8.62,24/04/18,43.1,24/04/18,26.4,24/04/18,396.6,24/04/18,10.76,24/04/18,67.4,24/04/18,5.86,24/04/18,12.9,24/04/18,8.22,24/04/18,74,24/04/18,62.05,24/04/18,70.75,24/04/18,20.6,24/04/18,20.35,24/04/18,29.45,24/04/18,67.6,24/04/18,10.61,24/04/18,68.75,24/04/18,6.88,24/04/18,43.45,24/04/18,54.55,24/04/18,16.26,24/04/18,118.9,24/04/18,83.05,24/04/18,83.25,24/04/18,28.4,24/04/18,134.9,24/04/18,39.3,24/04/18,21.9,24/04/18,6.32,24/04/18,4.2,,0
25/04/18,93,25/04/18,81.35,25/04/18,14.73,25/04/18,77.5,25/04/18,57.9,25/04/18,192.5,25/04/18,44.82,25/04/18,121.6,25/04/18,11.18,25/04/18,75.95,25/04/18,69.35,25/04/18,43.65,25/04/18,18.38,25/04/18,7.25,25/04/18,21.2,25/04/18,11.52,25/04/18,7.8,25/04/18,0.8,25/04/18,7.8,25/04/18,42.4,25/04/18,26.2,25/04/18,386.8,25/04/18,10.62,25/04/18,66.95,25/04/18,5.76,25/04/18,12.9,25/04/18,8.1,25/04/18,72.7,25/04/18,62,25/04/18,68.5,25/04/18,20.15,25/04/18,20.8,25/04/18,28.8,25/04/18,67.15,25/04/18,11.19,25/04/18,68.85,25/04/18,6.79,25/04/18,43,25/04/18,55.25,25/04/18,16.38,25/04/18,117.4,25/04/18,83.65,25/04/18,81.65,25/04/18,28.55,25/04/18,130.5,25/04/18,39.35,25/04/18,21.8,25/04/18,6.35,25/04/18,4.17,,0
26/04/18,92.4,26/04/18,80.75,26/04/18,14.73,26/04/18,77.05,26/04/18,58.15,26/04/18,193.9,26/04/18,44.68,26/04/18,121.6,26/04/18,11.08,26/04/18,75.4,26/04/18,67,26/04/18,43.65,26/04/18,18.4,26/04/18,7.21,26/04/18,20.7,26/04/18,11.54,26/04/18,7.9,26/04/18,0.78,26/04/18,7.9,26/04/18,44.55,26/04/18,25.7,26/04/18,382.2,26/04/18,10.64,26/04/18,66.6,26/04/18,5.62,26/04/18,12.84,26/04/18,8.03,26/04/18,72.1,26/04/18,61.8,26/04/18,69.15,26/04/18,19.64,26/04/18,20.35,26/04/18,28.7,26/04/18,67.4,26/04/18,11.07,26/04/18,67.85,26/04/18,6.75,26/04/18,43.25,26/04/18,55.5,26/04/18,15.94,26/04/18,113.3,26/04/18,83.95,26/04/18,78.55,26/04/18,28.25,26/04/18,121.4,26/04/18,39.2,26/04/18,21.6,26/04/18,6.36,26/04/18,4.17,,0
27/04/18,92.6,27/04/18,80.85,27/04/18,14.73,27/04/18,77.4,27/04/18,58.2,27/04/18,195.6,27/04/18,44.68,27/04/18,122.8,27/04/18,11.14,27/04/18,75.45,27/04/18,67.5,27/04/18,43.95,27/04/18,18.58,27/04/18,7.04,27/04/18,20.75,27/04/18,11.84,27/04/18,8.24,27/04/18,0.77,27/04/18,8.24,27/04/18,46.7,27/04/18,25.75,27/04/18,388.4,27/04/18,10.92,27/04/18,67.5,27/04/18,5.74,27/04/18,13.2,27/04/18,8.08,27/04/18,74.65,27/04/18,61.95,27/04/18,69.55,27/04/18,20,27/04/18,20.35,27/04/18,28.75,27/04/18,67,27/04/18,11.2,27/04/18,69,27/04/18,6.78,27/04/18,44.25,27/04/18,57.25,27/04/18,15.98,27/04/18,113.2,27/04/18,85.65,27/04/18,76.8,27/04/18,26.45,27/04/18,125.5,27/04/18,39.05,27/04/18,21.9,27/04/18,6.37,27/04/18,4.2,,0
30/04/18,93.1,30/04/18,81.5,30/04/18,14.95,30/04/18,78.7,30/04/18,58.45,30/04/18,199.6,30/04/18,45.5,30/04/18,126.8,30/04/18,11.6,30/04/18,78,30/04/18,69.4,30/04/18,44.25,30/04/18,18.64,30/04/18,6.97,30/04/18,21,30/04/18,12.04,30/04/18,8.19,30/04/18,0.81,30/04/18,8.19,30/04/18,46.4,30/04/18,26.55,30/04/18,391,30/04/18,11.18,30/04/18,69.6,30/04/18,5.79,30/04/18,13.16,30/04/18,8.32,30/04/18,75.2,30/04/18,62.1,30/04/18,70,30/04/18,19.46,30/04/18,20.2,30/04/18,29.75,30/04/18,68.05,30/04/18,11.13,30/04/18,70.7,30/04/18,6.98,30/04/18,45.75,30/04/18,59,30/04/18,16.22,30/04/18,114.3,30/04/18,86.2,30/04/18,77.55,30/04/18,25.5,30/04/18,130.1,30/04/18,40.85,30/04/18,22.5,30/04/18,6.46,30/04/18,4.3,,0
02/05/18,92.55,02/05/18,81.5,02/05/18,15.11,02/05/18,78.45,02/05/18,58.2,02/05/18,202.2,02/05/18,45.27,02/05/18,125.8,02/05/18,11.5,02/05/18,77.8,02/05/18,70.95,02/05/18,43.85,02/05/18,18.74,02/05/18,6.95,02/05/18,21.65,02/05/18,11.82,02/05/18,8.18,02/05/18,0.84,02/05/18,8.18,02/05/18,46.3,02/05/18,26.5,02/05/18,393.4,02/05/18,11,02/05/18,68.45,02/05/18,5.7,02/05/18,13.28,02/05/18,8.23,02/05/18,74.8,02/05/18,62.2,02/05/18,68.5,02/05/18,19.16,02/05/18,20.1,02/05/18,30,02/05/18,67.55,02/05/18,10.79,02/05/18,69.7,02/05/18,6.93,02/05/18,47,02/05/18,58,02/05/18,16.4,02/05/18,113.6,02/05/18,85.9,02/05/18,76.7,02/05/18,26.05,02/05/18,136.5,02/05/18,41.15,02/05/18,22.3,02/05/18,6.31,02/05/18,4.24,,0
03/05/18,91.9,03/05/18,81,03/05/18,15.02,03/05/18,77.7,03/05/18,58.05,03/05/18,200.8,03/05/18,44.95,03/05/18,124,03/05/18,11.28,03/05/18,76.75,03/05/18,69.55,03/05/18,44.2,03/05/18,18.22,03/05/18,6.9,03/05/18,21.5,03/05/18,11.6,03/05/18,8.06,03/05/18,0.82,03/05/18,8.06,03/05/18,46.25,03/05/18,26.5,03/05/18,385,03/05/18,10.9,03/05/18,67.4,03/05/18,5.6,03/05/18,13,03/05/18,8.08,03/05/18,73.5,03/05/18,61.8,03/05/18,67.35,03/05/18,19,03/05/18,19.92,03/05/18,28.65,03/05/18,66.95,03/05/18,11.03,03/05/18,69.35,03/05/18,6.79,03/05/18,46.4,03/05/18,56.6,03/05/18,15.86,03/05/18,113.5,03/05/18,86.55,03/05/18,75.65,03/05/18,26.05,03/05/18,133,03/05/18,41.1,03/05/18,22,03/05/18,6.21,03/05/18,4.17,,0
04/05/18,91.25,04/05/18,80.95,04/05/18,15.04,04/05/18,74.95,04/05/18,58.1,04/05/18,196.5,04/05/18,44.68,04/05/18,123,04/05/18,11.18,04/05/18,75.65,04/05/18,68.7,04/05/18,44.25,04/05/18,18.16,04/05/18,6.85,04/05/18,20.9,04/05/18,11.46,04/05/18,8.03,04/05/18,0.81,04/05/18,8.03,04/05/18,45.1,04/05/18,26.15,04/05/18,382.8,04/05/18,10.66,04/05/18,67,04/05/18,5.56,04/05/18,13.06,04/05/18,7.99,04/05/18,73,04/05/18,61.7,04/05/18,68.2,04/05/18,18.64,04/05/18,20.3,04/05/18,28.15,04/05/18,66.1,04/05/18,11.41,04/05/18,68,04/05/18,6.69,04/05/18,45.4,04/05/18,58.2,04/05/18,15.78,04/05/18,111.4,04/05/18,86.9,04/05/18,74.85,04/05/18,25.35,04/05/18,131.5,04/05/18,40.7,04/05/18,21.85,04/05/18,6.16,04/05/18,4.13,,0
07/05/18,90.95,07/05/18,80.75,07/05/18,15.05,07/05/18,75.1,07/05/18,58.2,07/05/18,196.3,07/05/18,44.68,07/05/18,122.8,07/05/18,11.12,07/05/18,75.5,07/05/18,68.2,07/05/18,44.15,07/05/18,18.2,07/05/18,6.9,07/05/18,21.8,07/05/18,11.62,07/05/18,7.97,07/05/18,0.83,07/05/18,7.97,07/05/18,44.85,07/05/18,26.2,07/05/18,380,07/05/18,10.9,07/05/18,66.5,07/05/18,5.71,07/05/18,13.46,07/05/18,7.98,07/05/18,73.4,07/05/18,61.85,07/05/18,68.65,07/05/18,18.92,07/05/18,21.5,07/05/18,28.2,07/05/18,66,07/05/18,11.72,07/05/18,68.35,07/05/18,6.68,07/05/18,45.6,07/05/18,57.1,07/05/18,15.78,07/05/18,112.8,07/05/18,87.75,07/05/18,74.9,07/05/18,26.05,07/05/18,134.6,07/05/18,40.5,07/05/18,22,07/05/18,6.19,07/05/18,4.14,,0
08/05/18,91.6,08/05/18,81.65,08/05/18,15.09,08/05/18,75.9,08/05/18,58.45,08/05/18,197.5,08/05/18,45.27,08/05/18,125,08/05/18,11.32,08/05/18,77.4,08/05/18,68.45,08/05/18,44.8,08/05/18,18.32,08/05/18,6.93,08/05/18,22.95,08/05/18,11.82,08/05/18,8.01,08/05/18,0.84,08/05/18,8.01,08/05/18,45.35,08/05/18,26.45,08/05/18,390.6,08/05/18,10.82,08/05/18,66.55,08/05/18,5.7,08/05/18,13.22,08/05/18,8.07,08/05/18,73.8,08/05/18,62.45,08/05/18,69,08/05/18,19.88,08/05/18,21.4,08/05/18,28.8,08/05/18,67,08/05/18,11.91,08/05/18,69.4,08/05/18,6.78,08/05/18,46.3,08/05/18,57.8,08/05/18,16.04,08/05/18,117.7,08/05/18,87,08/05/18,76.6,08/05/18,27,08/05/18,141.2,08/05/18,40.65,08/05/18,22.45,08/05/18,6.23,08/05/18,4.15,,0
09/05/18,91.8,09/05/18,81.85,09/05/18,15.11,09/05/18,76.1,09/05/18,59.2,09/05/18,196.5,09/05/18,45.27,09/05/18,124.9,09/05/18,11.28,09/05/18,77.25,09/05/18,67.9,09/05/18,45.1,09/05/18,18.56,09/05/18,7.08,09/05/18,22.85,09/05/18,11.86,09/05/18,7.93,09/05/18,0.84,09/05/18,7.93,09/05/18,46.35,09/05/18,26.8,09/05/18,394.6,09/05/18,10.74,09/05/18,67,09/05/18,5.95,09/05/18,13.52,09/05/18,8.09,09/05/18,73.55,09/05/18,62.3,09/05/18,69,09/05/18,19.76,09/05/18,21.4,09/05/18,29.4,09/05/18,67.15,09/05/18,12.44,09/05/18,69.7,09/05/18,6.77,09/05/18,45.9,09/05/18,59.7,09/05/18,16.16,09/05/18,117.5,09/05/18,88.05,09/05/18,76.95,09/05/18,27.45,09/05/18,142,09/05/18,40.75,09/05/18,22.55,09/05/18,6.28,09/05/18,4.16,,0
10/05/18,91.65,10/05/18,81.95,10/05/18,15.16,10/05/18,77.1,10/05/18,58.85,10/05/18,200.4,10/05/18,45.27,10/05/18,125.6,10/05/18,11.44,10/05/18,76.85,10/05/18,68.45,10/05/18,45.7,10/05/18,18.5,10/05/18,7.14,10/05/18,22.7,10/05/18,11.8,10/05/18,7.91,10/05/18,0.85,10/05/18,7.91,10/05/18,46.9,10/05/18,26.9,10/05/18,406.2,10/05/18,10.68,10/05/18,66.95,10/05/18,6.05,10/05/18,13.9,10/05/18,8.1,10/05/18,73.45,10/05/18,62.6,10/05/18,68.9,10/05/18,20.45,10/05/18,21.25,10/05/18,28.95,10/05/18,67,10/05/18,12.25,10/05/18,71.1,10/05/18,6.79,10/05/18,46.35,10/05/18,60.65,10/05/18,16.28,10/05/18,119.5,10/05/18,87.8,10/05/18,77.35,10/05/18,27.4,10/05/18,143.3,10/05/18,40.85,10/05/18,22.55,10/05/18,6.22,10/05/18,4.17,,0
11/05/18,92.35,11/05/18,82.35,11/05/18,15.31,11/05/18,77.55,11/05/18,59.35,11/05/18,201.6,11/05/18,46.14,11/05/18,127,11/05/18,11.62,11/05/18,79.15,11/05/18,69.5,11/05/18,45.45,11/05/18,18.64,11/05/18,7.2,11/05/18,23.55,11/05/18,11.98,11/05/18,7.97,11/05/18,0.84,11/05/18,7.97,11/05/18,47.9,11/05/18,27.05,11/05/18,408.8,11/05/18,10.9,11/05/18,67.65,11/05/18,6.03,11/05/18,13.86,11/05/18,8.2,11/05/18,73.85,11/05/18,62.95,11/05/18,69.25,11/05/18,20.45,11/05/18,21.1,11/05/18,29.05,11/05/18,68.2,11/05/18,12.29,11/05/18,72.8,11/05/18,6.85,11/05/18,47.35,11/05/18,61.9,11/05/18,16.4,11/05/18,121.7,11/05/18,89.8,11/05/18,77.9,11/05/18,27.55,11/05/18,142.3,11/05/18,40.65,11/05/18,22.55,11/05/18,6.3,11/05/18,4.23,,0
